method,geoid,indicator,anchor_year,target_year,horizon,actual,projected,ci90_low,ci90_high,sample_se,forecast_se,abs_pct_err,in_ci
carry_forward,15001,B19013_001E,2015,2017,2,57545.00,60033.00,54413.00,65653.00,3416.41,0.00,0.043236,1
carry_forward,15001,B19013_001E,2016,2018,2,57571.00,55750.00,52368.00,59132.00,2055.93,0.00,0.031631,1
carry_forward,15001,B19013_001E,2017,2019,2,67075.00,57545.00,53421.00,61669.00,2506.99,0.00,0.142080,0
carry_forward,15001,B19013_001E,2019,2021,2,69473.00,67075.00,62271.00,71879.00,2920.36,0.00,0.034517,1
carry_forward,15001,B19013_001E,2021,2023,2,74580.00,69473.00,64573.00,74373.00,2978.72,0.00,0.068477,0
carry_forward,15001,B19013_001E,2022,2024,2,75465.00,72568.00,66675.00,78461.00,3582.37,0.00,0.038389,1
carry_forward,15003,B19013_001E,2015,2017,2,81284.00,77273.00,75379.00,79167.00,1151.37,0.00,0.049346,0
carry_forward,15003,B19013_001E,2016,2018,2,84423.00,80513.00,78842.00,82184.00,1015.81,0.00,0.046314,0
carry_forward,15003,B19013_001E,2017,2019,2,87470.00,81284.00,79751.00,82817.00,931.91,0.00,0.070721,0
carry_forward,15003,B19013_001E,2019,2021,2,90704.00,87470.00,85273.00,89667.00,1335.56,0.00,0.035654,0
carry_forward,15003,B19013_001E,2021,2023,2,103131.00,90704.00,88393.00,93015.00,1404.86,0.00,0.120497,0
carry_forward,15003,B19013_001E,2022,2024,2,105205.00,96580.00,94825.00,98335.00,1066.87,0.00,0.081983,0
carry_forward,15007,B19013_001E,2015,2017,2,83860.00,77140.00,71877.00,82403.00,3199.39,0.00,0.080134,0
carry_forward,15007,B19013_001E,2016,2018,2,80921.00,71344.00,60745.00,81943.00,6443.16,0.00,0.118350,1
carry_forward,15007,B19013_001E,2017,2019,2,81971.00,83860.00,76777.00,90943.00,4305.78,0.00,0.023045,1
carry_forward,15007,B19013_001E,2019,2021,2,80582.00,81971.00,69240.00,94702.00,7739.21,0.00,0.017237,1
carry_forward,15007,B19013_001E,2021,2023,2,103564.00,80582.00,72577.00,88587.00,4866.26,0.00,0.221911,0
carry_forward,15007,B19013_001E,2022,2024,2,98128.00,87730.00,76683.00,98777.00,6715.50,0.00,0.105964,1
carry_forward,15009,B19013_001E,2015,2017,2,80241.00,70497.00,67369.00,73625.00,1901.52,0.00,0.121434,0
carry_forward,15009,B19013_001E,2016,2018,2,82885.00,72257.00,67558.00,76956.00,2856.53,0.00,0.128226,0
carry_forward,15009,B19013_001E,2017,2019,2,80754.00,80241.00,75270.00,85212.00,3021.88,0.00,0.006353,1
carry_forward,15009,B19013_001E,2019,2021,2,76273.00,80754.00,73545.00,87963.00,4382.37,0.00,0.058749,1
carry_forward,15009,B19013_001E,2021,2023,2,83691.00,76273.00,69673.00,82873.00,4012.16,0.00,0.088636,0
carry_forward,15009,B19013_001E,2022,2024,2,101192.00,94760.00,85984.00,103536.00,5334.95,0.00,0.063562,1
carry_forward,15001,B25058_001E,2015,2017,2,963.00,966.00,902.00,1030.00,38.91,0.00,0.003115,1
carry_forward,15001,B25058_001E,2016,2018,2,999.00,987.00,905.00,1069.00,49.85,0.00,0.012012,1
carry_forward,15001,B25058_001E,2017,2019,2,1057.00,963.00,895.00,1031.00,41.34,0.00,0.088931,0
carry_forward,15001,B25058_001E,2019,2021,2,1149.00,1057.00,959.00,1155.00,59.57,0.00,0.080070,1
carry_forward,15001,B25058_001E,2021,2023,2,1305.00,1149.00,1063.00,1235.00,52.28,0.00,0.119540,0
carry_forward,15001,B25058_001E,2022,2024,2,1459.00,1115.00,1042.00,1188.00,44.38,0.00,0.235778,0
carry_forward,15003,B25058_001E,2015,2017,2,1592.00,1495.00,1444.00,1546.00,31.00,0.00,0.060930,0
carry_forward,15003,B25058_001E,2016,2018,2,1593.00,1489.00,1448.00,1530.00,24.92,0.00,0.065286,0
carry_forward,15003,B25058_001E,2017,2019,2,1647.00,1592.00,1547.00,1637.00,27.36,0.00,0.033394,0
carry_forward,15003,B25058_001E,2019,2021,2,1771.00,1647.00,1593.00,1701.00,32.83,0.00,0.070017,0
carry_forward,15003,B25058_001E,2021,2023,2,1853.00,1771.00,1721.00,1821.00,30.40,0.00,0.044253,0
carry_forward,15003,B25058_001E,2022,2024,2,1856.00,1738.00,1691.00,1785.00,28.57,0.00,0.063578,0
carry_forward,15007,B25058_001E,2015,2017,2,1258.00,1104.00,996.00,1212.00,65.65,0.00,0.122417,0
